code,Q,A,B,D,E,F,G
LFFA-B3953/20,LFBB/QACAH/IV/NBO/AE/000/020/4449N00031E009,LFBE  BERGERAC DORDOGNE PERIGORD,2020 Oct 01  00:00,,HORAIRES ACTIVATION CTR BERGERAC : LUN-DIM : 0700-1030 1130-1600 EN DEHORS DE CES HORAIRES. CTR DECLASSEE EN G. CONTROLE D'AERODROME NON ASSURE.,,
LFFA-R0931/20,LFBB/QROLP/IV/NBO/AW/000/007/4539N00019W002,LFBG  COGNAC CHATEAUBERNARD,2020 May 07  00:00,,INTERDICTION DE SURVOL D'INSTALLATIONS SPECIFIQUES DEFENSE - SUP  AIP 067/20 : OBJET : CREATION D'UNE ZONE INTERDITE TEMPORAIRE SUR L'AERODROME DE  COGNAC CHATEAUBERNARD. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-A3644/20,LFBB/QSELT/IV/  B/AE/000/115/4601N00108W036,LFBH  LA ROCHELLE ILE DE RE,2020 Aug 26  09:27,,COVID 19: SERVICE D'INFORMATION DE VOL ET ENTRAINEMENT VFR/IFR:  LIMITATION POSSIBLE PENDANT LES HORRAIRES ATS.,,
LFFA-A3950/20,LFBB/QATCA/IV/NBO/AE/000/115/4605N00106W032,LFBH  LA ROCHELLE ILE DE RE,2020 Oct 05  00:00,,HORAIRES ACTIVATION CTR ET TMA LA ROCHELLE : LUN : 0340-2025 MAR MER : 0630-1800 JEU : 0630-2025 VEN : 0340-2025  SAM : 0530-1800    DIM : 0630-1800     EN DEHORS DE CES HORAIRES CTR ET TMA DECLASSEES EN G.,,
LFFA-B3916/20,LFBB/QATCA/IV/NBO/AE/000/115/4648N00057E049,LFBI  POITIERS BIARD,2020 Oct 01  00:00,,HORAIRES ACTIVATION CTR ET TMA POITIERS LUN : 0400-2359 MAR-VEN : 0000-2359 SAM : 0000-1800 DIM  : 0600-1800 EN DEHORS DE CES HORAIRES CTR ET TMA DESACTIVEES ET DECLASSEES EN G,,
LFFA-B3972/20,LFBB/QSELT/ V/  B/AE/000/145/4627N00051E066,LFBI  POITIERS BIARD,2020 Oct 03  18:00,MON 0000-0400. SAT 1800-2359. SUN 0000-0600 1800-2359,SIV POITIERS : SERVICES ASSURES PAR BORDEAUX CTL 127.675MHZ COMME  SUIT : -EN-DESSOUS DU FL115  : SERVICE D'ALERTE UNIQUEMENT -ENTRE FL115 ET FL145 : SERVICE DE CONTROLE. D'INFORMATION ET  D'ALERTE.,,
LFFA-R0934/20,LFBB/QROLP/IV/NBO/AW/000/009/4634N00020E002,LFBI  POITIERS BIARD,2020 May 07  00:00,,INTERDICTION DE SURVOL D'INSTALLATIONS SPECIFIQUES DEFENSE - SUP  AIP 067/20 : OBJET : CREATION D'UNE ZONE INTERDITE TEMPORAIRE SUR POITIERS. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-A3729/20,LFBB/QACXX/ V/NBO/AE/000/020/4338N00121E016,LFBO  TOULOUSE BLAGNAC,2020 Sep 01  09:59,,INTEGRATION DES VOLS VFR DE L'EST SELON LES CONDITIONS SUIVANTES  CAUSE ABSENCE DE VISIBILITE COTE EST PAR LES CONTROLEURS AERIENS  (RENOVATION DE LA VIGIE ACTUELLE) : - EN CONDITIONS VMC - ATTENTE LIMITEE A LA VERTICALE DU POINT EA - INTEGRATION EN VENT ARRIERE COTE EST OU EN BASE. UNIQUEMENT EN L'ABSENCE DE TRAFIC EN FINALE A MOINS DE 10NM - D'IMPORTANTS DELAIS SONT SUSCEPTIBLES D'ETRE IMPOSES POUR LES ARRIVEES ET LES TRANSITS VFR.,,
LFFA-R0933/20,LFBB/QROLP/IV/NBO/AW/000/012/4322N00025W003,LFBP  PAU PYRENEES,2020 May 07  00:00,,INTERDICTION DE SURVOL D'INSTALLATIONS SPECIFIQUES DEFENSE - SUP  AIP 067/20 : OBJET : CREATION D'UNE ZONE INTERDITE TEMPORAIRE SUR PAU. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-D4258/20,LFBB/QAZCA/IV/NBO/AE/000/030/4327N00116E005,LFBR  MURET LHERM,2020 Oct 09  16:03,,HORAIRES CONTROLE D'AERODROME (MURET RMZ 1 ET 2): - LUN-SAM: 0700-1800    SAUF SAM 10 OCT: 0700-1000 1200-1600 EXTENSION POSSIBLE LE MARDI JUSQU'A 2200 SUR PPR LE JOUR MEME AVANT 1400 - DIM ET JOURS FERIES: NIL.,,
LFFA-R2383/20,LFBB/QRTCA/IV/ BO/AW/000/006/4421N00108W004,LFBS  BISCARROSSE PARENTIS,2020 Oct 05  09:27,,PROTECTION DU TRAFIC AERIEN DE L'HYDROBASE DE BISCARROSSE - SUP AIP  060/20 MODIFIE: OBJET : CREATION D'UNE ZONE REGLEMENTEE TEMPORAIRE. MODIFICATION DES DISPOSITIONS PARTICULIERES: FREQ AUTO-INFO: 119.110MHZ AU LIEU DE 119.100MHZ. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-A4471/20,LFBB/QSEAU/ V/  B/AE/000/145/4336N00119W040,LFBZ  BIARRITZ PAYS BASQUE,2020 Oct 16  09:08,,SERVICE D'INFORMATION DE VOL NON ASSURE DANS LE SIV BIARRITZ.,,
LFFA-R0928/20,LFBB/QROLP/IV/NBO/AW/000/006/4330N00128W002,LFBZ  BIARRITZ PAYS BASQUE,2020 May 07  00:00,,INTERDICTION DE SURVOL D'INSTALLATIONS SPECIFIQUES DEFENSE - SUP  AIP 067/20 : OBJET : CREATION D'UNE ZONE INTERDITE TEMPORAIRE AU-DESSUS DE LA  CITADELLE GEORGES BERGE A BAYONNE. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-B3559/20,LFBB/QACAH/IV/NBO/AE/000/040/4424N00229E009,LFCR  RODEZ AVEYRON,2020 Aug 31  00:00,,HORAIRES ACTIVATION CTR RODEZ :  LUN : 0400-2000   MAR : 0400-2000   MER : 0400-2000  JEU : 0400-2000   VEN : 0700-2000  SAM : 0700-1700  DIM : 0700-2000 EN DEHORS DE CES HORAIRES :  -LE SERVICE DU CONTROLE PEUT ETRE RENDU A TOUT MOMENT SANS PREAVIS EN CIRCULATION D'AERODROME. LA PRESENCE RELLE DE CE SERVICE EST CONNUE SUR LA FREQUENCE RODEZ TWR 118.125MHZ   -LA CTR EST SUSCEPTIBLE D'ETRE MAINTENUE ACTIVE SANS NOTAM DANS  L'HEURE QUI SUIT LA FIN DES HORAIRES PROGRAMMES. L'ACTIVITE RELLE  EST CONNUE SUR LA FREQUENCE RODEZ TWR 118.125MHZ.,,
LFFA-R0932/20,LFBB/QROLP/IV/NBO/AW/000/009/4402N00123E002,LFDB  MONTAUBAN,2020 May 07  00:00,,INTERDICTION DE SURVOL D'INSTALLATIONS SPECIFIQUES DEFENSE - SUP  AIP 067/20 : OBJET : CREATION D'UNE ZONE INTERDITE TEMPORAIRE AU-DESSUS DU  QUARTIER VERGNES A MONTAUBAN. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-R0935/20,LFBB/QROLP/IV/NBO/AW/000/006/4554N00059W002,LFDN  ROCHEFORT CHARENTE MARITIME,2020 May 07  00:00,,INTERDICTION DE SURVOL D'INSTALLATIONS SPECIFIQUES DEFENSE - SUP  AIP 067/20 : OBJET : CREATION D'UNE ZONE INTERDITE TEMPORAIRE AU-DESSUS DE  ROCHEFORT. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-R2079/20,LFBB/QRTCA/IV/ BO/AW/000/135/4526N00113W008,LFIV  VENDAYS MONTALIVET,2020 Sep 24  00:00,,VOLS DE DRONES AU LARGE DE SOULAC - SUP AIP 167/20 : OBJET : CREATION D'UNE ZONE REGLEMENTEE TEMPORAIRE. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,FL135
LFFA-D2831/20,LFBB/QNXAW/ V/  B/AE/000/195/4454N00225E025,LFLW  AURILLAC,2020 Jul 07  09:12,,VDF SUPPRIME  REF AD2 LFLW ATT 01. ADC 01,,
LFFA-B2756/20,LFBB/QACAH/IV/NBO/AE/000/030/4313N00217E011,LFMK  CARCASSONNE SALVAZA,2020 Jul 02  00:00,,HORAIRES ACTIVATION CTR CARCASSONNE : LUN-DIM : 0600-1800 EN DEHORS DE CES HORAIRES. CTR DECLASSEE EN G. CONTROLE D'AERODROME  NON ASSURE.,,
LFFA-R1646/20,LFBB/QRTCA/IV/ BO/AW/000/025/4323N00154E001,LFMW  CASTELNAUDARY VILLENEUVE,2020 Jul 21  08:43,SR-SS,CREATION DE LA ZONE REGLEMENTEE TEMPORAIRE (ZRT) 'SEAWING' POUR UNE  EXPERIMENTATION DE VOILE CAPTIVE DE GRANDE DIMENSION.  - LIMITES LATERALES : CERCLE DE 500M DE RAYON CENTRE SUR 432232N  0015409E RDL348/4NM LFMW ET RDL245/4.2NM LFMG. - CONDITIONS DE PENETRATION CAG/CAM : CONTOURNEMENT OBLIGATOIRE SAUF  ACCORD DU GESTIONNAIRE ET POUR LES AERONEFS ASSURANT DES MISSIONS  D'ASSISTANCE. DE SAUVETAGE OU DE SECURITE PUBLIQUE LORSQUE LEUR  MISSION NE PERMET PAS LE CONTOURNEMENT DE LA ZRT.  - SERVICES RENDUS : INFORMATION DE VOL ET ALERTE.  - ACTIVITE REELLE CONNUE DE : TOULOUSE INFO 121.250MHZ. - ORGANISME A CONTACTER AVANT ET PENDANT LA MISE EN OEUVRE :  DIRECTEUR DES VOLS AIR SEAS - TEL : +33 (0)6 68 79 70 13.,SFC,2500FT AMSL
LFFA-R0936/20,LFBB/QROLP/IV/NBO/AW/000/007/4542N00038W001,LFXB  SAINTES THENAC,2020 May 07  00:00,,INTERDICTION DE SURVOL D'INSTALLATIONS SPECIFIQUES DEFENSE - SUP  AIP 067/20 : OBJET : CREATION D'UNE ZONE INTERDITE TEMPORAIRE SUR L'AERODROME DE  SAINTES THENAC. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-R0937/20,LFBB/QROLP/IV/NBO/ W/000/006/4454N00020W002,LFBB  BORDEAUX FIR,2020 May 07  00:00,,DISPOSITIF DE SURETE AERIENNE A VAYRES - SUP AIP 067/20 :  OBJET : CREATION D'UNE ZONE INTERDITE TEMPORAIRE. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-R1086/20,LFBB/QRTCA/IV/ BO/ W/000/017/4327N00146E001,LFBB  BORDEAUX FIR,2020 May 28  00:00,,EXPERIMENTATION VOLS DE DRONES DANS LE SUD OUEST DE LA FRANCE - SUP   AIP 081/20 : OBJET : CREATION D'UNE ZONE REGLEMENTEE TEMPORAIRE EN 2 PARTIES  AU-DESSUS DE 'CESSALES'. L'ACTIVATION DE NUIT ET DE LA PARTIE B SERA ANNONCEE PAR NOTAM. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,1000FT AGL
LFFA-R1087/20,LFBB/QRTCA/IV/ BO/ W/000/012/4321N00113E001,LFBB  BORDEAUX FIR,2020 May 28  00:00,,EXPERIMENTATION VOLS DE DRONES DANS LE SUD OUEST DE LA FRANCE - SUP   AIP 081/20 : OBJET : CREATION D'UNE ZONE REGLEMENTEE TEMPORAIRE AU-DESSUS DE  'LONGAGES'. L'ACTIVATION DE NUIT SERA ANNONCEE PAR NOTAM. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-R1088/20,LFBB/QRTCA/IV/ BO/ W/000/012/4411N00136E001,LFBB  BORDEAUX FIR,2020 May 28  00:00,,EXPERIMENTATION VOLS DE DRONES DANS LE SUD OUEST DE LA FRANCE - SUP   AIP 081/20 : OBJET : CREATION D'UNE ZONE REGLEMENTEE TEMPORAIRE AU-DESSUS DE  'SEPTFONDS'. L'ACTIVATION DE NUIT SERA ANNONCEE PAR NOTAM. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-R1156/20,LFBB/QRTCA/IV/ BO/ W/000/025/4510N00032E004,LFBB  BORDEAUX FIR,2020 Jun 04  00:00,,ACTIVITES SPECIFIQUES DEFENSE A SAINT ASTIER - SUP AIP 088/20 : OBJET : CREATION DE 3 ZONES REGLEMENTEES TEMPORAIRES (ZRT 251A 251W  ET 251E). LA ZRT 251W EST ACTIVABLE PAR NOTAM. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,2500FT AMSL
LFFA-R1602/20,LFBB/QRTCA/IV/ BO/ W/000/014/4445N00018W001,LFBB  BORDEAUX FIR,2020 Jul 13  11:00,MON-FRI 1100-2359 EXC JUL 14,ZONE REGLEMENTEE TEMPORAIRE A LA SAUVE POUR DES EXPERIMENTATIONS  DRONES : 1) LIMITES LATERALES : CERCLE DE RAYON 0.4NM CENTRE SUR 444451N 0001753W 2) STATUT : ZONE REGLEMENTEE TEMPORAIRE 3) CONDITIONS DE PENETRATIONS CAM ET CAG : CONTOURNEMENT OBLIGATOIRE PENDANT L'ACTIVITE. SAUF. APRES CONTACT PREALABLE AVEC LE GESTIONNAIRE : LES VOLS D'AERONEFS ASSURANT DES MISSIONS D'ASSISTANCE. DE SAUVETAGE OU DE SECURITE PUBLIQUE. LORSQUE LEUR MISSION NE PERMET PAS LE CONTOURNEMENT DE LA ZONE 4) SERVICE RENDU :  ALERTE 5) INFO :  - HTTP://TINY.CC/DRONISOS-LASAUVE  - REPONDEUR TELEPHONIQUE : 05 35 54 63 57  - GESTIONNAIRE : 05 56 74 88 93,SFC,1350FT AMSL
LFFA-R1838/20,LFBB/QRTCA/IV/ BO/ W/000/195/4508N00110W004,LFBB  BORDEAUX FIR,2020 Sep 08  06:30,,ACTIVITE SPECIFIQUE DEFENSE - SUP AIP 143/20 : OBJET : CREATION D'UNE ZONE REGLEMENTEE TEMPORAIRE. CETTE ZONE SERA ACTIVEE PAR NOTAM AVEC UN PREAVIS DE 72HR. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,FL195
LFFA-R2214/20,LFBB/QRRCA/IV/ BO/ W/000/030/4511N00021W002,LFBB  BORDEAUX FIR,2020 Oct 01  04:00,01 02 05 07 08 10 12 13 16 17 20-23 0400-1600. 03 06 14-15 19 24  0400-0359. 25 0400-0459. 26 0500-1700. 27-30 0500-0459,ZONE LF-R249 CAMP DE BUSSAC ACTIVE.,SFC,3000FT AMSL
LFFA-R2489/20,LFBB/QRRCA/IV/ BO/ W/000/105/4544N00217E008,LFBB  BORDEAUX FIR,2020 Oct 19  18:30,19 1830-2330. 20-23 0630-1430 1830-2330. 24 0630-1430 1830-2200,ZONE LF-R203A LA COURTINE ACTIVE,SFC,FL105
LFFA-R2491/20,LFBB/QRRCA/IV/ BO/ W/000/155/4544N00217E008,LFBB  BORDEAUX FIR,2020 Oct 19  06:30,,ZONE LF-R 203B LA COURTINE ACTIVE,SFC,FL155
LFFA-W0985/20,LFBB/QWULW/IV/ BO/ W/000/011/4324N00145E001,LFBB  BORDEAUX FIR,2020 Jul 31  07:00,MON-FRI 0700-1700,ACTIVITE DRONES A AVIGNONET-LAURAGAIS : -PSN : 432338N 0014444E   -CERCLE DE 0.1NM DE RAYON CENTRE SUR PSN.,SFC,400FT AGL
